s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
53,恩尼艾特,文化包容,0,,s8➪s13,跨种族道德平等,反物质能源,全向文化动态包容,ssssssss➪sssssss$$$,8,13,1.625,16,2,1.231
54,恩尼艾特,志愿医疗运动,0,,s6➪s9,种族间医学交流,有机结构,全民健康,ssssss➪sssss$$,6,9,1.5,11,1.833,1.222
55,恩尼艾特,相互理解,0,,s2➪s4,量子计算机,通用翻译器,种族间共情,ss➪sss$,2,4,2,6,3,1.5
56,恩尼艾特,长者的智慧,0,,L6➪L10,量子计算机,临床永生,永生者的智慧,LLLLLL➪LLLLLLL$$,9,15,1.667,16.5,1.833,1.1
57,恩尼艾特,跨文化档案,0,,L3➪L4,泛在文化知识库,通用翻译器,泛在文化影响,LLL➪LLL$,4.5,6,1.333,7.5,1.667,1.25
58,恩尼艾特,异种科技库,0,,U3➪U5,超空间开采,奇点控制,超科技共同体,UUU➪UUU$$$,9,15,1.667,18,2,1.2
59,法德澜,杜伦泰的赠礼,1,wwwwI→R,➪OTgb+T,,,,,0,8,1000,,,
60,法德澜,关联集成存储器,1,wwwwI→R,"Variable $,Ack* upgraded",,,,,,,,,,
61,法德澜,自动化运输网络,1,wwwwI→R,"➪g,+2 colonies from deck",,,,,0,1,1000,,,
62,法德澜,遗迹探测器,1,wwwwI→R,gggN→R,,,,,,,,,,
63,法德澜,隐德莱希图书馆,1,wwwwI→R,➪+$Bgw,,,,,0,6.5,1000,,,
64,法德澜,嬗变性分解器,1,wwwwI→R,"$,**➪UbgY",,,,,2,6.5,3.25,,,
65,法德澜,纳尔戈里安磨盘,1,wwwwI→R,$➪TBbg,,,,,3,5,1.667,,,
66,法德澜,晨星废墟,1,wwwwI→R,$$X,,,,,,,,,,
67,法德澜,乐土转换器,1,wwwwI→R,"TB,N➾$$",,,,,,,,,,
68,法德澜,巴里安贸易舰队,1,wwwwI→R,$UTBYgbw****,,,,,,,,,,
69,法德澜,瑟尔的碎环,1,wwwwI→R,"gbw, YB➪$$",,,,,3,6,2,,,
70,法德澜,雄伟浑天仪,1,wwwwI→R,"$,➪****",,,,,0,3,1000,,,
71,法德澜,纳米科技,1,Researched,bbb➪Ug,基因工程学,原子嬗变,纳米制造,bbb➪UgY,3,4,1.333,5.5,1.833,1.375
72,法德澜,基因工程学,1,Researched,ggg➪BTw,纳米科技,临床永生,基因再合成,ggg➪BTwT,3,4,1.333,5.5,1.833,1.375
73,法德澜,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,www➪$+Bbw,3,4.5,1.5,6.5,2.167,1.444
74,法德澜,反物质能源,2,Researched,bbbb➪YYTg,超空间开采,有机结构,反物质化合物,bbbb➪YYTggw,4,5.5,1.375,7.5,1.875,1.364
75,法德澜,种族间医学交流,2,Researched,gggg➪$b+gg,跨种族道德平等,有机结构,泛生物医学,gggg➪$bwT+gg,4,6,1.5,8.5,2.125,1.417
76,法德澜,跨种族道德平等,2,Researched,wwww➪$+$w,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$w,4,7,1.75,10,2.5,1.429
77,法德澜,异文化交流,3,Researched,bbbbb➪$Bwwgg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Bwwgg+$Tw,5,11.5,2.3,17,3.4,1.478
78,法德澜,多元种族企业,3,Researched,ggggg➪$YB**+bbgw,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YB**+bbgww,5,12,2.4,16,3.2,1.333
79,法德澜,社会迁移,3,Researched,wwwww➪$**Y+$**YT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**Y+$**YgT,5,14.5,2.9,18.5,3.7,1.276
80,法德澜,量子计算机,1,Researched,BB➪TYb,通用翻译器,临床永生,非确定性多项式塌缩,BB➪TYbY,3,4,1.333,5.5,1.833,1.375
81,法德澜,临床永生,1,Researched,TT➪$g,基因工程学,原子嬗变,实用永生,TT➪$gB,3,4,1.333,5.5,1.833,1.375
82,法德澜,泛在文化知识库,1,Researched,YY➪$w,通用翻译器,量子计算机,模因生命体,YY➪$wB,3,4,1.333,5.5,1.833,1.375
83,法德澜,非时序分析,2,Researched,BBB➪UTwb,反物质能源,奇点控制,时间查看器,BBB➪UTwbwY,4.5,6.5,1.444,9,2,1.385
84,法德澜,有机结构,2,Researched,TTT➪**bbwg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**bbwgY,4.5,6,1.333,7.5,1.667,1.25
85,法德澜,超空间开采,2,Researched,YYY➪UB+BT,反物质能源,奇点控制,超空间定居点,YYY➪UBBbb+BT,4.5,7.5,1.667,11,2.444,1.467
86,法德澜,银河系通讯控制,3,Researched,BBBB➪$$$wwg,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Ywwg,6,12,2,16.5,2.75,1.375
87,法德澜,时间膨胀,3,Researched,TTTT➪$$Ubbg,巨型建筑,物质生成,静滞场,TTTT➪$$$Ubbg+U,6,12,2,18,3,1.5
88,法德澜,物质生成,3,Researched,YYYY➪$$UTgb,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UTgbb,6,12.5,2.083,16.5,2.75,1.32
89,法德澜,遗迹再利用,0,Starting,bb➪**w,非时序分析,反物质能源,遗迹建造,bb➪**wwg,2,3,1.5,5,2.5,1.667
90,法德澜,古代自动化支持网络,0,Starting,➪wgb*,奇点控制,超空间开采,已驯化的自动化支持网络,➪wgb*+BY,0,4,1000,7,1000,1.75
91,法德澜,原子嬗变,1,Researched,U➪YTb,泛在文化知识库,纳米科技,虚材料,U➪YTbT,3,4,1.333,5.5,1.833,1.375
92,法德澜,仪式化管理,0,Starting,wwww➪UBg,跨种族道德平等,种族间医学交流,跨种族首都,wwww➪UBg+$,4,5.5,1.375,8.5,2.125,1.545
93,法德澜,非本土动物群,0,Starting,ggg➪YTb,基因工程学,临床永生,基因可塑动物群,ggg➪YTTb,3,4,1.333,5.5,1.833,1.375
94,法德澜,奇点控制,2,Researched,UU➪TBBgwb*,超空间开采,非时序分析,虫洞网格,UU➪TBBgwb*gg,6,8.5,1.417,10.5,1.75,1.235
95,法德澜,Phases,,Reference,,,,,,,,,,,
96,法德澜,巨型建筑,3,Researched,UUU➪$$$$$wb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$wbB,9,17,1.889,21.5,2.389,1.265
97,艾恩卓尔,纳米科技,1,Researched,bbbF➪Ug,基因工程学,原子嬗变,纳米制造,bbbF➪UgY,3,4,1.333,5.5,1.833,1.375
98,艾恩卓尔,基因工程学,1,Researched,gggF➪YTw,纳米科技,临床永生,基因再合成,gggF➪YTwT,3,4,1.333,5.5,1.833,1.375
99,艾恩卓尔,通用翻译器,1,Researched,wwwF➪$+T,泛在文化知识库,量子计算机,通用共情交流,wwwF➪$+Twg,3,4.5,1.5,6.5,2.167,1.444
100,艾恩卓尔,反物质能源,2,Researched,bbbbF➪YYBg,超空间开采,有机结构,反物质化合物,bbbbF➪YYBggw,4,5.5,1.375,7.5,1.875,1.364
101,艾恩卓尔,种族间医学交流,2,Researched,ggggF➪$w+wg,跨种族道德平等,有机结构,泛生物医学,ggggF➪$wwT+wg,4,6,1.5,8.5,2.125,1.417
102,艾恩卓尔,跨种族道德平等,2,Researched,wwwwF➪$+$w,种族间医学交流,非时序分析,具体共相元理论学,wwwwF➪$U+$w,4,7,1.75,10,2.5,1.429
103,艾恩卓尔,异文化交流,3,Researched,bbbbbF➪$Bwwgg+$,巨型建筑,社会迁移,多种族混合文化,bbbbbF➪$$Bwwgg+$Bw,5,11.5,2.3,17,3.4,1.478
104,艾恩卓尔,多元种族企业,3,Researched,gggggF➪$YT**+wwgb,银河系通讯控制,异文化交流,全种族间融合,gggggF➪$$YT**+wwwgb,5,12,2.4,16,3.2,1.333
105,艾恩卓尔,社会迁移,3,Researched,wwwwwF➪$**Y+$**YT,银河系通讯控制,异文化交流,Galactic Reunion,wwwwwF➪$$**Y+$**YTb,5,14.5,2.9,18.5,3.7,1.276
106,艾恩卓尔,量子计算机,1,Researched,BBF➪TYb,通用翻译器,临床永生,非确定性多项式塌缩,BBF➪TYbT,3,4,1.333,5.5,1.833,1.375
107,艾恩卓尔,临床永生,1,Researched,TTF➪$w,基因工程学,原子嬗变,实用永生,TTF➪$wY,3,4,1.333,5.5,1.833,1.375
108,艾恩卓尔,泛在文化知识库,1,Researched,YYF➪$w,通用翻译器,量子计算机,模因生命体,YYF➪$wB,3,4,1.333,5.5,1.833,1.375
109,艾恩卓尔,非时序分析,2,Researched,BBBF➪UTwg,反物质能源,奇点控制,时间查看器,BBBF➪UTwggT,4.5,6.5,1.444,9,2,1.385
110,艾恩卓尔,有机结构,2,Researched,TTTF➪**wbgg,种族间医学交流,跨种族道德平等,活体基础设施,TTTF➪**wbggY,4.5,6,1.333,7.5,1.667,1.25
111,艾恩卓尔,超空间开采,2,Researched,YYYF➪UT+YT,反物质能源,奇点控制,超空间定居点,YYYF➪UTYgb+YT,4.5,7.5,1.667,11,2.444,1.467
112,艾恩卓尔,银河系通讯控制,3,Researched,BBBBF➪$$$gwb,多元种族企业,社会迁移,银河系统治,BBBBF➪$$$$Ygwb,6,12,2,16.5,2.75,1.375
113,艾恩卓尔,时间膨胀,3,Researched,TTTTF➪$$Uwgg,巨型建筑,物质生成,静滞场,TTTTF➪$$$Uwgg+U,6,12,2,18,3,1.5
114,艾恩卓尔,物质生成,3,Researched,YYYYF➪$$UTwb,多元种族企业,时间膨胀,大规模传送,YYYYF➪$$$UTwbb,6,12.5,2.083,16.5,2.75,1.32
115,艾恩卓尔,银河系探索,0,Starting,BBFF➪UTgww,非时序分析,超空间开采,银河系藏宝地图绘制,BBF➪UTgwwY,3,7.5,2.5,9,3,1.2
116,艾恩卓尔,小行星开采,0,Starting,FF➪*bb,反物质能源,超空间开采,小行星建设场,"F➪*bb,Y➪Tg §",1.5,3,2,5.5,1.833,1.833
117,艾恩卓尔,原子嬗变,1,Researched,UF➪YBg,泛在文化知识库,纳米科技,虚材料,UF➪YBgY,3,4,1.333,5.5,1.833,1.375
118,艾恩卓尔,微重力装配,0,Starting,bbbbFF➪YYBT****,纳米科技,量子计算机,分散式建造,bbbbF➪YYBT****,4,10,2.5,10,2.5,1
119,艾恩卓尔,法德澜遗迹隐藏处,0,Starting,UUFF➪TTBYYggbw,原子嬗变,临床永生,遗迹再合成,UUF➪TTBYYggbbw,6,11.5,1.917,12.5,2.083,1.087
120,艾恩卓尔,奇点控制,2,Researched,UUF➪TBYgbb*,超空间开采,非时序分析,虫洞网格,UUF➪TBYgbb*wg,6,8.5,1.417,10.5,1.75,1.235
121,艾恩卓尔,第一甲等舰队群「牧羊人」,1,UUB→$,FFF,,,,,,,,,,
122,艾恩卓尔,巨型建筑,3,Researched,UUUF➪$$$$$gb,时间膨胀,物质生成,戴森群,UUUF➪$$$$$$gbT,9,17,1.889,21.5,2.389,1.265
123,艾恩卓尔,Phases,,Reference,,,,,,,,,,,
124,艾恩卓尔,第二丙等舰队群「青色原野」,1,BBB→$,F,,,,,,,,,,
125,艾恩卓尔,第三丙等舰队群「白色雪山」,1,Bbbb→$,F,,,,,,,,,,
126,艾恩卓尔,第四丙等舰队群「赤色荒原」,1,UB→$,F,,,,,,,,,,
127,艾恩卓尔,第五乙等舰队群「云泽」,1,BBbbb→$,FF,,,,,,,,,,
128,艾恩卓尔,第零乙等舰队群「高湖」,0,Starting,FF,,,,,,,,,,
129,艾恩卓尔,第六乙等舰队群「穷海」,1,Ubbb→$,FF,,,,,,,,,,
130,贾斯,纳米科技,1,Researched,bbb➪Ug,基因工程学,原子嬗变,纳米制造,bbb➪UgB,3,4,1.333,5.5,1.833,1.375
131,贾斯,基因工程学,1,Researched,ggg➪TBw,纳米科技,临床永生,基因再合成,ggg➪TBwB,3,4,1.333,5.5,1.833,1.375
132,贾斯,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,www➪$+Bwg,3,4.5,1.5,6.5,2.167,1.444
133,贾斯,反物质能源,2,Researched,bbbb➪YBBw,超空间开采,有机结构,反物质化合物,bbbb➪YBBwgw,4,5.5,1.375,7.5,1.875,1.364
134,贾斯,种族间医学交流,2,Researched,gggg➪$w+gg,跨种族道德平等,有机结构,泛生物医学,gggg➪$wwB+gg,4,6,1.5,8.5,2.125,1.417
135,贾斯,跨种族道德平等,2,Researched,wwww➪$+$w,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$w,4,7,1.75,10,2.5,1.429
136,贾斯,异文化交流,3,Researched,bbbbb➪$Bwggg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Bwggg+$Bb,5,11.5,2.3,17,3.4,1.478
137,贾斯,多元种族企业,3,Researched,ggggg➪$YY**+bgww,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YY**+bbgww,5,12,2.4,16,3.2,1.333
138,贾斯,社会迁移,3,Researched,wwwww➪$**T+$**BT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**T+$**BTg,5,14.5,2.9,18.5,3.7,1.276
139,贾斯,量子计算机,1,Researched,BB➪TYw,通用翻译器,临床永生,非确定性多项式塌缩,BB➪TYwY,3,4,1.333,5.5,1.833,1.375
140,贾斯,临床永生,1,Researched,TT➪$g,基因工程学,原子嬗变,实用永生,TT➪$gB,3,4,1.333,5.5,1.833,1.375
141,贾斯,泛在文化知识库,1,Researched,YY➪$g,通用翻译器,量子计算机,模因生命体,YY➪$gB,3,4,1.333,5.5,1.833,1.375
142,贾斯,非时序分析,2,Researched,BBB➪UTwb,反物质能源,奇点控制,时间查看器,BBB➪UTwbgY,4.5,6.5,1.444,9,2,1.385
143,贾斯,有机结构,2,Researched,TTT➪**wbgg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪B**wbgg,4.5,6,1.333,7.5,1.667,1.25
144,贾斯,超空间开采,2,Researched,YYY➪UB+BB,反物质能源,奇点控制,超空间定居点,YYY➪UBTwg+BB,4.5,7.5,1.667,11,2.444,1.467
145,贾斯,银河系通讯控制,3,Researched,BBBB➪$$$bbw,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Tbbw,6,12,2,16.5,2.75,1.375
146,贾斯,时间膨胀,3,Researched,TTTT➪$$Uggw,巨型建筑,物质生成,静滞场,TTTT➪$$$Uggw+U,6,12,2,18,3,1.5
147,贾斯,物质生成,3,Researched,YYYY➪$$UTwb,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UTwbb,6,12.5,2.083,16.5,2.75,1.32
148,贾斯,征星者跃迁核心,0,Starting,TT➪g****,超空间开采,奇点控制,快速跃迁网络,TT➪$*****,3,5,1.667,8,2.667,1.6
149,贾斯,地底都市,0,Starting,➪bb***,有机结构,反物质能源,小行星采矿网络,➪bb***T,0,5,1000,6.5,1000,1.3
150,贾斯,原子嬗变,1,Researched,U➪YBb,泛在文化知识库,纳米科技,虚材料,U➪YBbT,3,4,1.333,5.5,1.833,1.375
151,贾斯,香味信息素忠诚度,0,Starting,bbbb➪YBTw,基因工程学,纳米科技,多适性信息素,bbbb➪YBTw+gb,4,5.5,1.375,7.5,1.875,1.364
152,贾斯,奇点控制,2,Researched,UU➪YTBwwb*,超空间开采,非时序分析,虫洞网格,UU➪YTBwwwbb*,6,8.5,1.417,10.5,1.75,1.235
153,贾斯,Phases,,Reference,,,,,,,,,,,
154,贾斯,巨型建筑,3,Researched,UUU➪$$$$$wg,时间膨胀,物质生成,戴森群,UUU➪$$$$$$wgY,9,17,1.889,21.5,2.389,1.265
155,凯特,纳米科技,1,Researched,bbb➪Uw,基因工程学,原子嬗变,纳米制造,bbb➪UwB,3,4,1.333,5.5,1.833,1.375
156,凯特,基因工程学,1,Researched,ggg➪TBb,纳米科技,临床永生,基因再合成,ggg➪TBbB,3,4,1.333,5.5,1.833,1.375
157,凯特,通用翻译器,1,Researched,www➪$+T,泛在文化知识库,量子计算机,通用共情交流,www➪$+Twb,3,4.5,1.5,6.5,2.167,1.444
158,凯特,反物质能源,2,Researched,bbbb➪BBTw,超空间开采,有机结构,反物质化合物,bbbb➪BBTwgw,4,5.5,1.375,7.5,1.875,1.364
159,凯特,种族间医学交流,2,Researched,gggg➪$w+bb,跨种族道德平等,有机结构,泛生物医学,gggg➪$wbT+bb,4,6,1.5,8.5,2.125,1.417
160,凯特,跨种族道德平等,2,Researched,wwww➪$+$b,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$b,4,7,1.75,10,2.5,1.429
161,凯特,异文化交流,3,Researched,bbbbb➪$Tgggw+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Tgggw+$Bb,5,11.5,2.3,17,3.4,1.478
162,凯特,多元种族企业,3,Researched,ggggg➪$YT**+wwwb,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YT**+wwwwb,5,12,2.4,16,3.2,1.333
163,凯特,社会迁移,3,Researched,wwwww➪$**B+$**BT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**B+$**BTb,5,14.5,2.9,18.5,3.7,1.276
164,凯特,量子计算机,1,Researched,BB➪TYw,通用翻译器,临床永生,非确定性多项式塌缩,BB➪TYwT,3,4,1.333,5.5,1.833,1.375
165,凯特,临床永生,1,Researched,TT➪$b,基因工程学,原子嬗变,实用永生,TT➪$bB,3,4,1.333,5.5,1.833,1.375
166,凯特,泛在文化知识库,1,Researched,YY➪$b,通用翻译器,量子计算机,模因生命体,YY➪$bT,3,4,1.333,5.5,1.833,1.375
167,凯特,非时序分析,2,Researched,BBB➪UTwg,反物质能源,奇点控制,时间查看器,BBB➪UTwgbT,4.5,6.5,1.444,9,2,1.385
168,凯特,有机结构,2,Researched,TTT➪**wwbg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**wwbgB,4.5,6,1.333,7.5,1.667,1.25
169,凯特,超空间开采,2,Researched,YYY➪UT+TB,反物质能源,奇点控制,超空间定居点,YYY➪UTBww+TB,4.5,7.5,1.667,11,2.444,1.467
170,凯特,银河系通讯控制,3,Researched,BBBB➪$$$bbg,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Ybbg,6,12,2,16.5,2.75,1.375
171,凯特,时间膨胀,3,Researched,TTTT➪$$Ubbw,巨型建筑,物质生成,静滞场,TTTT➪$$$Ubbw+U,6,12,2,18,3,1.5
172,凯特,物质生成,3,Researched,YYYY➪$$UBww,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UBwww,6,12.5,2.083,16.5,2.75,1.32
173,凯特,多功能组件,0,Starting,*,原子嬗变,量子计算机,自适应架构,*T,,,,,,
174,凯特,手工制作的,0,Starting,➪U,有机结构,非时序分析,微型制造的,➪gbU,0,4,1000,7.5,1000,1.875
175,凯特,原子嬗变,1,Researched,U➪BBg,泛在文化知识库,纳米科技,虚材料,U➪BBgY,3,4,1.333,5.5,1.833,1.375
176,凯特,高风险实验室,0,Starting,wgbb,超空间开采,奇点控制,恒星能量利用,wwggbb,,,,,,
